Card Name,Depiction,Card Effect,Status
<The Laughing Fool,"A clown’s mask with a wide, eerie grin","For 5 minutes, creatures within one mile must succeed on a DC [[14]] Charisma save or be compelled to laugh uncontrollably, unable to take actions other than laughter 😆>",
<Ripple of Madness,A swirling vortex of colorful smoke,"For 30 minutes, all creatures within one mile have their alignment shifted one step toward chaotic (e.g., lawful good becomes neutral good) and act unpredictably but not hostilely 🤪>",
<Carnival Chaos,A swirling carnival tent with flickering lights,"For 5 minutes, within one mile, every creature’s movement speed is randomly altered each turn—roll a d4 at the start of each creature’s turn (1=half speed, 2=normal, 3=double, 4=teleport 10 feet in a random direction) 🎪>",
<Jester's Gambit,A grinning jester juggling colorful orbs,"For 1 minute, within one mile, all dice rolls made by creatures other than the card holder have their results randomly doubled or halved—roll a d2 after each roll (1=halve, 2=double) 🎭>",
<Inverted Fortunes,A card showing a coin flipped mid-air,"For 10 minutes, within one mile, all healing spells and effects instead deal damage equal to [[1d8 + spell level]] and all damaging spells heal that much instead 🔄>",
<Mirthquake,"A laughing clown holding a cracked, glowing orb","Once pulled, within one mile, all creatures must succeed on a DC [[15+d4]] Wisdom save or be overcome with uncontrollable laughter, becoming incapacitated and prone for 1 minute 😂>",
<Twisted Reflection,A warped carnival mirror reflecting distorted versions of creatures,"For 10 minutes, all creatures within one mile see illusions of their own worst fears",
Fickle Breeze,A swirling wind carrying colorful leaves,"Within one mile, erratic gusts of unpredictable wind rage for the next ten minutes. All ranged attacks are made at disadvantage in the affected area🍃",
<Jester’s Gambit,A brightly dressed jester juggling glowing orbs,"For 1 hour, all creatures within one mile must succeed on a DC [[15]] Wisdom saving throw or be compelled to perform random harmless, silly actions (dancing, juggling invisible objects, telling jokes) every round",
<Turnabout Whimsy,A twisted carnival mirror reflecting multiple versions of a person,"For 5 minutes, all creatures within one mile swap positions randomly at the start of their turn as if affected by a confused maneuver, DC [[14]] Wisdom save negates 🤹>",
<Chaos Bloom,A radiant flower that blooms and then bursts into sparks,"All plant life within one mile grows uncontrollably or withers unpredictably for 1 hour, creatures must succeed a DC [[13+d4]] Nature check to avoid difficult terrain or restricted movement due to wild vines 🌺>",
<Silent Whispers,A cracked whispering mask exuding eerie silence,"For 15 minutes, no sound can be produced or heard within one mile except whispers, verbal spells without somatic components are cast at disadvantage 🤫>",
<Card of Jocular Chaos,A painted jester juggling glowing orbs,"For 1 hour, creatures within one mile must roll a d4 when making attack rolls or ability checks: 1 - advantage, 2 - disadvantage, 3 - reroll, 4 - success regardless of roll 🎭>",
<Mirror Mirage,A cracked hand mirror reflecting an upside-down landscape,"For 10 minutes, all terrain within one mile appears reversed, causing difficult terrain to appear as normal and vice versa, creatures must succeed a DC [[15]] Wisdom saving throw or be disoriented and unable to take reactions 🚧>",
<Pandemonium Pulse,A vibrant burst of multicolored light radiating outward,"Creatures within one mile must succeed on a DC [[14+d4]] Constitution saving throw or be confused (as confusion spell) for 1 minute, allies and enemies alike 🤯>",
<Whispers of the Fool,A whispering wind swirling with faint laughter,"For 1 hour, all secrets or hidden knowledge within one mile are revealed to creatures with darkvision or truesight, but prone to misinterpret them leading to false conclusions 50% of the time 🕵️>",
<The Red Nose’s Blessing,A bright red clown nose floating above a painted wooden box,"The bearer and all creatures within one mile have advantage on Performance and Persuasion checks for 30 minutes, but all stealth checks are made with disadvantage 🤡>",
<Laughter’s Curse,A sinister grin painted on a cracked mask,"All creatures within one mile burst into uncontrollable laughter for 1 minute unless they succeed on a DC [[15]] Wisdom saving throw, causing incapacitation and inability to speak 😂>",
<Jester’s Gambit,A colorful jester juggling glowing orbs,"For 1 minute, everyone within one mile must roll a d20 at the start of their turn: on an even roll, they gain advantage on all rolls that turn, on an odd roll, they suffer disadvantage 🤹>",
<Clown’s Shadow,A clown with an impossibly long shadow,"One mile radius sees all shadows behave unpredictably: they may act independently, mimicking or mocking their owners’ last movement, causing disadvantage on Insight checks to read intentions for 1 hour 🃏>",
<Chaos Flux,A swirling vortex of colors and shapes,"For 1 minute, all spells cast within one mile randomly change type (DM chooses or roll d8: 1-fire, 2-cold, 3-lightning, 4-thunder, 5-necrotic, 6-radiant, 7-force, 8-acid) but retain their original effect and save DC ⚡>",
<Twisted Revelry,A carnival tent under a starry sky,"For 10 minutes, the terrain within one mile is transformed into carnival-like scenery, granting all creatures advantage on Charisma (Performance) checks but disadvantage on Stealth checks 🎪>",
<Jester’s Gambit,A colorful jester juggling glowing orbs,"For 1 minute, all creatures within one mile must succeed on a DC [[15+d4]] Wisdom saving throw or be compelled to perform a random, harmless action on their next turn (clap hands, dance, speak in rhyme) 🤡>",
<Fool’s Fortune,A cracked tarot card showing a laughing clown,"Within one mile, all creatures gain advantage on attack rolls but disadvantage on saving throws for 5 minutes 🎭>",
<Pandemonium's Whisper,A swirling vortex of chaotic colors,"For 10 minutes, magic within one mile has a 50% chance to produce a random wild magic surge effect whenever a spell is cast 🎲>",
<Cacophony’s Call,An ancient horn carved with laughing faces,"When sounded, all sound within one mile is amplified and distorted for 10 minutes, causing disadvantage on Stealth checks and Concentration saving throws involving sound 🗣️>",
<Mirrored Misstep,A prism reflecting fractured light,"For 1 minute, all movement within one mile is unpredictably altered—when creatures move, roll [[1d6]]. On a 1-3, their movement direction reverses for that turn, otherwise it proceeds normally 🔄>",
<Wild Laughter,A grinning clown face emitting radiant sound waves,"All creatures within one mile must succeed a DC [[14+d4]] Con save or burst into uncontrollable laughter for 1 minute, incapacitated but gaining advantage on all saving throws against being frightened 🤡>",
<Jester’s Gambit,A colorful jester juggling three balls that glow with chaotic energy,"For 1 hour, creatures within one mile must succeed a DC [[15]] Wis save or be compelled to act as if under the confusion spell for 1 minute whenever they fail a Charisma check 🤹>",
<Mirror of Misrule,A warped mirror showing twisted reflections of nearby landmarks,"For 1 hour, all creatures and objects within one mile appear reversed (left-right swapped) to all observers, imposing disadvantage on perception checks and ranged attacks originating outside the area 👹>",
<Fools’ Feast,"A banquet table laden with surreal, shifting food","For 10 minutes, food and drink within one mile provide random beneficial or harmful effects determined by rolling [[1d6]]—1: heal [[2d8]], 2: poison (Con save DC 13), 3: advantage on next attack, 4: disadvantage on next attack, 5: regain [[1d4+1]] spell slots, 6: lose [[1d4]] hit points 🍽️>",
<The Laughing Fool,A painted card showing a grinning clown leaping from a mushroom patch,Summon an invisible jester spirit that pranks creatures in a one mile radius for 10 minutes: it imposes disadvantage on concentration checks and randomly teleports willing or unwilling creatures up to 30 feet once per round (DC 14 Wis save negates teleport) 🤡>,
<Moonlit Paradox,A silver moon twisted into a spiral,"For 30 minutes, creatures within one mile perceive time inconsistently, causing initiative order to be randomly shuffled at the start of each combat and a 25% chance of delayed reactions causing the next action to be skipped ⏳>",
<Jester’s Gambit,A colorful jester juggling bright orbs,"For the next hour, all creatures within one mile must make a DC [[14+d4]] Wisdom saving throw or be compelled to perform random dance moves during their turns, imposing disadvantage on attack rolls and ability checks 🤡>",
<Veil of Misdirection,A swirling fog of iridescent colors,The area in a 1 mile radius is plagued with illusions for the next minute. All creatures in the area suffer disadvantage on Perception checks and ranged attacks for the duration🎭,
<Chaos Bloom,A flower that shifts shapes rapidly,"Plants and terrain within one mile become wild and unpredictable for 1 hour, causing difficult terrain to shift, new plants to grow rapidly that block vision, and any ranged spell attacks to have a 15% chance to target a random square instead 🌸>",
<Fool’s Coin,A tarnished coin with a smiling face on both sides,"Flipping this coin causes either a beneficial or detrimental event within one mile based on a luck roll: on heads all allies gain advantage on saving throws for 10 minutes, on tails all enemies gain advantage on attack rolls for 10 minutes, roll [[1d2]] 🎲>",
<Whims of the Jester,A colorful jester juggling glowing orbs,"For 5 minutes, one random creature within one mile per round experiences a random condition (confused, frightened, charmed, blinded, or deafened) determined by a roll of [[1d5]] 😊😈🤡>",
<Echoes of Folly,A whispering clown mask suspended in the air,"For 10 minutes, all sound within one mile is doubled and echoes, causing disadvantage on Stealth checks and causing verbal spells to require concentration checks DC [[15]] 🎭>",
<Luck's Gambit,A twisted coin with a smiling and frowning face,"Once drawn, every creature within one mile must roll a d20 and add [[1d4]] to or subtract [[1d4]] from the result (player's choice) on all attack rolls and saving throws for 10 minutes 🎲>",Done
<Moonlit Mirage,"A pale, laughing moon with shifting faces","For 30 minutes, illusions are indistinguishable from reality within one mile, causing all Insight checks related to perception of reality to be made at disadvantage 🌝>",Bad
<Dance of Chaos,A swirl of multicolored smoke enveloping a town,"For 1 hour, all movement within one mile becomes erratic and unpredictable",Bad
<Jester’s Gambit,A mischievous jester juggling glowing orbs,"For 1 hour, each creature in a 1 mile radius must succeed on a DC [[15]] Wisdom save or be compelled to perform a random silly action each turn (d4: 1-dance wildly, 2-speak in rhymes, 3-make loud noises, 4-mimic another creature) 🤡>",Bad
<Laughing Mirage,A laughing clown face painted on a swirling mist,"For 10 minutes, illusions manifest randomly in a 1 mile radius—creatures must succeed on a DC [[14]] Intelligence save or believe any sensory illusion is real",Bad
Wheel of Fortune,A colorful spinning wheel divided into strange symbols,"All creatures in a 1 mile radius suffer from an effect from the wheel. Roll a d6 ||[[d6]]||: 1-Heal [[2d8]] HP and one level of exhaustion, 2-The next crop harvest will have double yields, 3-Grant inspiration, 4-Range of all attacks halved for the next minute, 5-Speed halved for the next minute, 6-Knocked prone) 🎡>",Done
<Fool’s Errand,A parchment with a tangled map and a grinning fool,"For 30 minutes, all navigation and directional magic within 1 mile becomes unreliable—compasses spin wildly and teleportation destinations shift randomly",Done
<Fool’s Whimsy,A swirling pattern of vibrant colors and distorted shapes,"For 30 minutes, the environment within one mile shifts randomly every 10 minutes, altering terrain features and light levels, causing disadvantage on perception checks relying on sight or sound 🔮>",Done
<Prankster’s Gambit,A deck of cards with a smiling clown on the back,"All creatures within one mile must roll a d20 when they take a long rest: on a 1-5, they suffer 1d6 psychic damage and are confused for 1 minute, on a 6-15 nothing happens, 16-20 they gain advantage on one attack roll or saving throw of their choice before their next long rest 🤡>",Done
<Chaos Jester,A grinning jester juggling colorful orbs,"For 1 hour, all creatures within one mile must succeed on a DC [[15+d4]] Wisdom save at the start of their turn or behave unpredictably by randomly choosing a new target for actions this turn 🎭>",Bad
<Twist of Fate,A twisting carnival ride with vivid lights,"For 10 minutes, all damage dealt or healing received within one mile is reversed in type—fire damage heals, healing damages, and so forth, to the nearest whole number 🔄>",Bad
<Harlequin's Gambit,A vibrant jester juggling glowing orbs,"All creatures in the area must roll a d20 and on an even result gain advantage on their next roll, on an odd result suffer disadvantage on their next roll, lasting until the next dawn 🎭>",Done
<Fool's Fortune,An ancient card showing a hapless fool stumbling forward,"Once pulled, the next [[1d6]] minutes all random magical effects cast in the area are redirected randomly to other creatures or objects within the mile 🃏>",Bad
<Mask of Madness,A cracked porcelain mask with a painted smile,"For 30 minutes, all creatures in the radius see illusions of their deepest fears whenever they fail a saving throw, causing disadvantage on attack rolls until the end of their next turn 😱>",Done
<Infinite Jest,A swirling vortex of colorful streamers and jesters,"The cardholder and all allies within the radius regain [[2d8+4]] hit points as they are filled with euphoric energy, but each healed target must succeed on a DC [[13]] Con save or lose their next turn laughing uncontrollably😂>",Bad
<Chaotic Mirth,A laughing clown holding a horn that emits colorful confetti,"For 1 hour, any hostile action within the mile radius causes uncontrollable laughter, forcing targets to succeed on a DC [[15]] Wis saving throw or be incapacitated and laughing for 1d4 rounds 🤡>",Done
<Jester's Gambit,A colorful jester juggling glowing orbs,"For 1 minute, all creatures within one mile must succeed a DC [[14]] Wisdom save at the start of their turn or be charmed and compelled to perform a random dance or gesture, causing disadvantage on attack rolls and ability checks 🃏>",Bad
<Chaos Ripple,A swirling vortex of multicolored light radiating outward,"For 5 minutes, roll [[1d4]] at the start of each turn: 1-damage half HP, 2-advantage on all rolls, 3-confusion (as confusion spell), 4-sleep for 1 round, affecting all creatures within one mile 🔄>",Bad
<Lucky Coin,A battered coin with a smiling clown face,"Once drawn, every creature within one mile gains advantage on one attack roll or saving throw of their choice in the next minute, but at the end of the minute, each must roll [[1d20]] or suffer a random minor misfortune (DM's choice) 🎲>",Done
<Fool’s Whisper,A cracked mask with an eerie grin,"For 30 minutes, all secret or private thoughts within one mile unintentionally become audible whispers, causing disadvantage on Stealth and Deception checks 🤫>",Done
<Harlequin's Veil,A colorful patchwork cloak fluttering with mischievous shadows,"For 10 minutes, creatures of your choice within one mile experience illusions that make them appear as harmless or bizarre creatures, granting advantage on social interactions but causing enemies to hesitate before attacking 🤡>",Bad
<Jester’s Gambit,A colorful jester juggling glowing orbs,"For 1 minute, the area within one mile becomes a chaotic carnival: all creatures must succeed on a DC [[15]] Wisdom save or be compelled to perform a harmless but distracting action of the DM’s choice on their turn 🤡>",Done
<Chaotic Pulse,A swirling vortex of multicolored light,"For 1 hour, all magic cast within one mile has a 50% chance to produce a wild magic surge effect determined by the DM at random ✨>",Done
<The Laughing Curse,A grinning clown face carved into a bone mask,"For 10 minutes, all creatures in a 1-mile radius uncontrollably laugh, giving them disadvantage on attack rolls and saving throws but advantage on Charisma (Performance) checks 😂>",Done
<Mirror of Fool's Insight,A cracked mirror reflecting a distorted face,"For 30 minutes, all creatures in a 1-mile radius see false visions causing advantage on Insight checks but disadvantage on Perception (sight) checks 🔮>",Done
<Pandemonium Breeze,"A swirling, vibrant wind carrying faint laughter","For 1 hour, the wind reverses gravity for flickers of seconds randomly on creatures within one mile, forcing a DC [[13]] Dexterity save or fall prone as if pulled upward briefly 🌪️>",Done
<Fool's Errand,A winding road twisting into a question mark,"For the next hour, all travel within one mile is disoriented: creatures navigating must succeed on a DC [[15]] Wisdom (Survival) check or be redirected to a random location within the area 🛤️>",Done
<Jester's Gambit,A colorful jester juggling flames,"For 1 minute, all creatures within one mile must roll a d20 at the start of their turn: on a 1-5 they are compelled to dance uncontrollably, on a 6-15 they gain advantage on all Charisma checks, and on a 16-20 they are silenced until the start of their next turn 🤹>",Bad
<Balancing Act,A tightrope stretched between two distant trees with a clown walking it,"For 30 minutes, creatures within one mile have their movement affected by wild gravity shifts, forcing them to succeed on DC [[13]] Dexterity saving throws to avoid falling prone when moving more than half their speed 🎪>",Done
<Mirrored Madness,A cracked carnival mirror reflecting a distorted clown face,"For 10 minutes, creatures within one mile see illusions of themselves acting out their worst fears, causing all saving throws against fear effects to have disadvantage 😵>",Done
<Laughing Roulette,A painted card with a laughing skull face,"When drawn, creatures within one mile must roll a d20: on evens they receive a random beneficial effect (heal [[2d8+4]] hp, advantage on next attack, etc.), on odds they suffer a random hindrance (disadvantage on next save, [[1d6]] psychic damage, etc.) 🎲>",Bad
