Card Name,Depiction,Card Effect,Status
<Royal Edict,A regal hand raised in demand,The target must succeed a DC 15 Wisdom saving throw or be stunned until the end of their next turn 📜>,
<King’s Indignity,A king revoking a noble’s title with a stern glare,"The target must succeed on a DC [[14]] Charisma saving throw or be silenced for 1 minute, unable to cast spells with verbal components 🤫>",
<Banished From Court,A shadowy figure being cast out of a grand hall,"The target must succeed on a DC [[15]] Charisma saving throw or be banished to a shadowy demiplane for 1 round, reappearing at the end, disoriented and slowed for 1 minute 🌑>",
<Edict of Silence,A regal scroll sealed with a royal crest,The target must succeed on a DC [[15]] Constitution saving throw or be unable to cast spells that require verbal components for 1 minute 🤐>,
<Crown of Thorns,A golden crown entwined with sharp thorns,The target must succeed on a DC [[15]] Constitution saving throw or take [[2d8]] piercing damage and have disadvantage on attack rolls for 1 minute 👑>,
<Crown of Tarnished Glory,A royal crown cracked and darkened,The target must succeed on a DC [[15]] Wisdom saving throw or be frightened for 1 minute as visions of losing their power haunt them 😨>,
<Crown of Dread,"A heavy, ornate golden crown radiating dark energy","The target must succeed on a DC [[15]] Wisdom saving throw or be frightened for 1 minute, and their speed is halved while frightened 👑>",
<Royal Edict,A king raising his scepter as courtiers bow,The target must succeed on a DC [[15]] Wisdom saving throw or be paralyzed by royal command for 1 round 👑>,
<Royal Decree,A king delivering a harsh command from his throne,The target must succeed on a DC [[15]] Wisdom saving throw or be stunned until the end of their next turn 👑>,
<Kingly Edict,A royal scroll sealed with a golden crest,The target must succeed on a DC [[15]] Wisdom saving throw or be unable to take reactions for 1 minute 👑>,
<Royal Edict,A parchment sealed with a golden crown,The target must succeed on a DC [[15]] Wisdom saving throw or be unable to take reactions for 1 minute 👑>,
<Tyrant’s Gaze,A fierce king’s eyes glowing with dark power,"The target must succeed on a DC 15 Constitution saving throw or be weakened, halving their weapon damage for 1 minute ⚔️>",
<Crown of Command,A golden crown glowing with a sinister aura,"The target must succeed on a DC 15 Wisdom saving throw or be charmed for 1 minute, taking disadvantage on attack rolls against the user 👑>",
<Court's Rebuke,A stern king pointing a jeweled scepter at a foe,The target must succeed on a DC 15 Wisdom saving throw or be frightened for 1 minute. They can repeat the save at the end of each of their turns 👑>,
<Cursed Crown,A golden crown crackling with dark energy,The target must succeed on a DC 15 Wisdom saving throw or be Paralyzed for 1 round and Disadvantaged on attack rolls for the next minute 👑>,
<Royal Decree,A king pointing his scepter with a stern gaze,The target must succeed on a DC 15 Wisdom saving throw or be silenced and unable to cast spells with verbal components for 1 minute 🤐>,
<Royal Decree,A stern king pointing his scepter,The target must succeed on a DC 15 Wisdom saving throw or have disadvantage on attack rolls and ability checks for 1 minute 📜>,
<Royal Rebuke,A king raising his scepter to condemn a foe,The target must succeed on a DC 16 Charisma saving throw or be frightened for 1 minute and have disadvantage on saving throws against being frightened 👑>,
<Scepter of Dismissal,A jeweled scepter knocking back an arrogant courtier,The target must succeed on a Strength saving throw or be pushed 15 feet away and knocked prone 👊>,
<Crown of Judgment,A gleaming golden crown emitting dark energy,"The target must succeed on a Wisdom saving throw or be stunned until the start of their next turn, as the weight of royal decree crushes their will 👑>",
<Crown of Scorn,A golden crown radiating dark energy sits on a throne,"The target suffers disadvantage on all saving throws and ability checks for 1 minute, and each time they take damage, they have to succeed on a DC 15 Wisdom save or be frightened for 1 round 👑>",
<Faltering Monarch,A regal figure kneeling with a cracked crown,The target suffers disadvantage on all saving throws and ability checks for the next minute as their confidence shatters 👑>,
<King’s Scorn,A sharp glare from a crowned monarch,The target suffers disadvantage on attack rolls against creatures other than you until the end of their next turn ⚔️>,
<Jester's Mockery,A court jester laughing wildly,The target suffers disadvantage on attack rolls and saving throws until the end of their next turn 🤡>,
<Crown of Thorns,A thorny golden crown glowing with dark energy,"The target suffers disadvantage on saving throws and takes [[2d6]] radiant damage at the start of their turn for 2 turns, representing the pain of unwanted rulership 🌹>",
<Crown of Thorns,A golden crown twisted with sharp black thorns,The target suffers psychic damage equal to [[2d6+3]] and is frightened for 1 minute 👑>,
<Jester's Mockery,A laughing jester pulling a fool's mask over a villain’s face,The target takes [[1d8+3]] psychic damage and has disadvantage on attack rolls until the end of their next turn 🤡>,
<Crown of Spite,A glowing crown floating over one enemy’s head,The target takes [[2d6]] necrotic damage and has their movement speed halved for 1 minute 🖤>,
<Crown of Thorns,A spiked crown glowing with dark energy,The target takes [[2d6]] necrotic damage and suffers disadvantage on attack rolls for 1 minute 👑>,
<King’s Wrath,A furious monarch wielding a flaming sword,The target takes [[2d6]] psychic damage and has disadvantage on attack rolls and saving throws until the end of their next turn 🔥>,
<Baneful Summons,A spectral king’s court appearing around the target,The target takes [[2d6]] psychic damage and has disadvantage on attack rolls until the end of their next turn 👻>,
<Crown of Thorns,A golden crown entwined with black thorns,The target takes [[2d6]] psychic damage and has their movement reduced by half for 1 minute 🥀>,
<Crown of Shadows,"A dark, glowing crown floating above a kneeling figure",The target takes [[2d6]] psychic damage and is blinded until the start of their next turn 🖤>,
<Royal Rebuke,A stern king raising a scepter in disgust,The target takes [[2d8]] psychic damage and has Disadvantage on saving throws against being frightened until the end of your next turn 👑>,
<Scepter of Suffering,A jeweled scepter emitting dark energy,The target takes [[3d6]] necrotic damage and suffers disadvantage on saving throws against the next status effect inflicted upon them for 1 hour 💀>,
<Crown of Dusk,"A dark, jeweled crown resting on a velvet cushion",The target within 30 feet suffers disadvantage on attack rolls and ability checks until the end of your next turn 🌑>,
<Royal Decree of Decay,A sealed parchment with a royal sigil dissolving into dust,The target's AC is reduced by 2 and they have disadvantage on concentration checks for 1 minute due to the oppressive curse of the king's wrath 🏰>,
<Crown of Thorns,A dark crown with sharp jewels,The target’s AC is reduced by 2 and they have disadvantage on saving throws against being frightened for 1 minute 🌹>,
<Cursed Crown,A glowing crown floating above a chained figure,The target's AC is reduced by 2 and they have disadvantage on saving throws against fear effects for 1 minute 👑>,
<Pawn's Bane,A chess pawn exploding into shards,The target's movement speed is halved and their reactions are suppressed until the end of their next turn ♟️>,
<Jester’s Disgrace,A masked jester pulling a string to trip a noble,The target’s movement speed is halved and they have disadvantage on attack rolls until their next turn 🤡>,
<King’s Decree,A sealed parchment with a royal crest,The target’s movement speed is halved and they take [[1d10]] psychic damage each turn for 3 rounds as they feel the pressure of a king’s judgment 🏰>,
<Misrule’s Curse,A crown cracked and tilted askew,"The target’s movement speed is halved, and they have disadvantage on saving throws against being frightened until the end of their next turn 👑>",
<Crown of Burdens,A heavy golden crown sinking onto the target’s head,"The target’s speed is reduced by half, and they have disadvantage on Dexterity saving throws for 1 minute 🛡️>",
<Iron Fetter,Heavy iron shackles glowing with royal runes,The target’s speed is reduced to 0 and they have Disadvantage on Dexterity saving throws for 1 minute ⛓️>,
<Broken Scepter,A shattered royal scepter glowing with fading power,The target’s weapon attacks deal half damage for 1 minute as their authority falters ⚔️>,
<Pawn's Sacrifice,A fallen chess pawn stained with blood,The user can force one enemy within 60 feet to grant advantage on all attacks against them until the end of the user's next turn 🤺>,
<Silent Court Whisper,Shadows of courtiers murmuring in the dark,You choose one creature within 30 feet who fails a Wisdom saving throw (DC 15) and suffers disadvantage on initiative rolls and Perception checks for 10 minutes 🕯️>,
<Banished to the Gallery,A royal court chamber with portraits screaming,"You curse one enemy who must succeed on a Charisma saving throw or be banished to a shadowy court for 1 round, missing their next turn 🖼️>",
<Sovereign’s Gaze,A regal portrait of a king with glowing eyes,You impose disadvantage on all saving throws against fear and charm effects on one enemy you can see for 1 minute 👁️>,
