Card Name,Depiction,Card Effect
<Liar’s Gambit,Two cards crossing in midair each emitting sparks,You force one creature you can see to make a Charisma saving throw or repeat its last action without any additional reaction or bonus action 🎲>
<Mask of Falsehood,A smiling mask reflecting a different face,You gain advantage on all Deception checks for 1 hour and can cast Disguise Self once within that time 🃏>
<Gilded Tongue,A golden serpent coiling around a silver tongue,"You gain advantage on all Deception checks for the next hour, and can cast the *Suggestion* spell once without expending a spell slot 🐍>"
<Whispering Veil,A shadowy figure blending into a swirling mist,You gain advantage on all Stealth checks for 1 hour and cannot be tracked by nonmagical means 🕶>
<Veil of Whispers,A shadowy veil draping over a figure’s face,You gain advantage on all Stealth checks for the next 10 minutes as whispers mask your presence 👤>
<Silver Tongue,A silver tongue wrapped around a serpent,You gain advantage on Deception and Persuasion checks for the next hour or until you fail one of those checks 🐍>
<Whispered Mask,A swirling veil of mist hiding a face,You gain advantage on Deception checks and can cast Disguise Self at will for 1 hour 🎭>
<Mask of Many Faces,A mask with shifting faces,You gain advantage on Deception checks for the next hour and can cast Disguise Self once during that time without using a spell slot 🎭>
<Silent Step,A footstep leaving no trace on a cracked floor,"You gain advantage on Dexterity (Stealth) checks for 10 minutes, blending into shadows and noises around you 👣>"
<Veil of Facades,A swirling mist enveloping a masked face,You gain advantage on Stealth and Deception checks for 1 hour 👺>
<Veil of Whispers,A masked face surrounded by swirling smoke,You gain advantage on Stealth checks and can cast *Minor Illusion* at will for 1 hour 🎭>
<Veil of Whispered Lies,A blurred face half-hidden in shadow,You gain advantage on Stealth checks and can cast Disguise Self once within the next hour 🎭>
<Cloak of Lies,A swirling cloak made of mist and shadow,You gain advantage on Stealth checks and the ability to cast *Silent Image* centered on yourself once per long rest 🤫>
<Veil of Whispers,A shadowy figure with a mouth sewn shut,You gain advantage on Stealth checks for 1 hour and can't be tracked by scent 👤>
<Mirage Veil,A swirling mist concealing a figure's face,You gain advantage on Stealth checks for 1 hour as illusions cloak your presence 🌫️>
<Silver Tongue,A mouth with a silver tongue flicking out,You gain advantage on the next Persuasion or Deception check you make within 10 minutes 🗣️>
<Veil of Falsehood,A swirling mist obscuring a shadowy figure,"You gain invisibility for [[1d4+1]] rounds or until you attack or cast a spell, allowing you to silently slip past foes 🕶>"
<Veil of Shadows,A swirling mist enveloping a lone figure,"You gain invisibility until you make an attack or cast a spell, or for up to 1 minute, concentration not required 🌫️>"
<Veil of Falsehood,A swirling mist enveloping a masked face,"You gain the ability to cast *disguise self* at will for the next hour, and advantage on deception checks during that time 🎭>"
<Whispered Falsehood,An open mouth with wisps of smoke emerging,"You implant a convincing lie into one creature's mind, causing them to believe a falsehood of your choice for 10 minutes"
<Mirror Mask,A silver mask reflecting multiple distorted faces,"You may cast *Disguise Self* on yourself or an ally within 30 feet at will for 10 minutes, causing others to have disadvantage on Insight checks to see through the illusion 🎭>"
<False Promise,A silver tongue wrapped around a locked scroll,You may reroll one failed Charisma (Deception) check
<Eyes of Deceit,An eye reflecting two different images,You may see through any illusion or invisibility within 60 feet and automatically succeed on the next one deception check you make 👁️>
<Silent Whisper,A shadowy mouth near an ear,"You plant a false memory in one creature’s mind, causing them to believe one lie you choose for 1 hour, requiring a DC [[15]] Wisdom saving throw to disbelieve 🤫>"
<Whispered Fabrication,A mouth whispering out shadowy tendrils,"You select one creature in sight, forcing them to question reality"
<Shadowstep Mirage,Dark footsteps glowing faintly on the ground,"You teleport up to 30 feet to an unoccupied space you can see, leaving behind an illusory double that lasts until the start of your next turn, distracting enemies and granting advantage on your next stealth check 🦶>"
